106274->,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0.239669421,0.041322314,0.074380165,0.32231405,0.033057851,0,0.033057851,0.041322314,0.214876033,0,0,0.863636364
106275->,0.25,0.25,0,0.125,0,0.25,0.25,0,0.25,0,0,0,0.090909091,0.140495868,0.115702479,0.289256198,0.074380165,0,0.074380165,0.074380165,0.140495868,0,0,0.863636364
106302->,0,-0.25,-0.25,-0.125,0,0.125,0,0.25,-0.25,0.25,0,0,0.016528926,0.132231405,0.107438017,0.20661157,0.20661157,0,0.041322314,0.041322314,0.148760331,0.099173554,0,0.863636364
106306->,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0.016528926,0.024793388,0.024793388,0.024793388,0,0,0.05785124,0.041322314,0.570247934,0.231404959,0.008264463,0.863636364
106307->,0.25,0,0.125,0,0.25,0.125,0,0,0,0,0,0.125,0.008264463,0.049586777,0.066115702,0.727272727,0.05785124,0,0.024793388,0.033057851,0.033057851,0,0,0.863636364
106334->,-0.25,0,-0.125,0,0.25,0.125,0.25,0,0.25,0,0,0.125,0.140495868,0.446280992,0.099173554,0.024793388,0.024793388,0,0.181818182,0.074380165,0.008264463,0,0,0.863636364
106338->,0,-0.25,0,0,0,0,0,0.125,0,0,0,0,0,0.016528926,0.05785124,0.148760331,0,0,0.041322314,0.107438017,0.561983471,0.066115702,0,0.863636364
106339->,0,0,0,0,0,-0.125,0,0,0,-0.25,0.125,0,0.016528926,0.041322314,0.05785124,0.429752066,0.008264463,0,0.016528926,0.090909091,0.32231405,0.016528926,0,0.863636364
106367->,0,-1,0,-0.25,0,0,0,-0.5,0,-0.25,0,0,0.165289256,0.363636364,0.05785124,0.041322314,0,0,0.330578512,0.041322314,0,0,0,0.863636364
106368->,0,-0.25,-0.125,0,0,-0.25,0,-0.25,0,0,0,-0.5,0.115702479,0.272727273,0.157024793,0.20661157,0.008264463,0,0.223140496,0.016528926,0,0,0,0.863636364
106817->,0,0.5,0,-0.25,-0.5,0.25,0,0.5,0,0.25,0,0.5,0.033057851,0.033057851,0.066115702,0.429752066,0.033057851,0,0.024793388,0.066115702,0.297520661,0.016528926,0,0.863636364
106845->,-0.125,-0.125,0.25,0.125,0,0.25,0,-0.25,0,-0.25,0,0,0.024793388,0.041322314,0.107438017,0.181818182,0.140495868,0,0.049586777,0.066115702,0.32231405,0.066115702,0,0.863636364
106849->,0.5,0.25,-0.25,0,0.5,0,0.5,0.25,0.25,0,0.5,0.25,0.008264463,0.016528926,0.033057851,0.396694215,0.049586777,0,0.016528926,0.041322314,0.289256198,0.148760331,0,0.863636364
106881->,0.25,0,0,-0.125,0.25,0.125,0.25,0,0,-0.125,0.25,0.125,0,0.033057851,0.041322314,0.008264463,0,0,0.041322314,0.132231405,0.73553719,0.008264463,0,0.863636364
106909->,0,0,0,0,0,0,-0.125,-1,0,0,0,0,0.710743802,0.099173554,0,0,0,0,0.107438017,0.082644628,0,0,0,0.863636364
106912->,0.5,0.25,0,0.25,0,-0.25,0.5,-0.25,0,0,0.25,-0.25,0.024793388,0.041322314,0.082644628,0.132231405,0,0,0.033057851,0.090909091,0.421487603,0.173553719,0,0.863636364
106913->,0,0.25,-0.125,-0.5,-0.25,-0.375,0,0,-0.125,-0.25,0.125,0.25,0.016528926,0.05785124,0.066115702,0.239669421,0.024793388,0,0.082644628,0.115702479,0.347107438,0.049586777,0,0.863636364
107388->,0,0,0,0,0,0.25,0,0,0,0,0,0,0.520661157,0.008264463,0.024793388,0.008264463,0,0,0.049586777,0.024793388,0.280991736,0.082644628,0,0.863636364
107391->,0,-0.5,-0.5,-0.25,0,0.25,0,-0.5,-0.5,-0.25,0,0.25,0.305785124,0.024793388,0.024793388,0.115702479,0.024793388,0,0.041322314,0.016528926,0.247933884,0.198347107,0,0.863636364
107392->,-0.5,-0.25,0.25,0,0.25,0.25,-0.5,-0.25,0,0,0,0,0,0.033057851,0.090909091,0.611570248,0.107438017,0,0.008264463,0.05785124,0.090909091,0,0,0.863636364
107423->,-0.5,0,-0.25,0,0,0,-0.5,-0.25,-0.25,-0.125,0.25,0.125,0.016528926,0.05785124,0.041322314,0.024793388,0,0,0.041322314,0.05785124,0.652892562,0.107438017,0,0.863636364
107424->,-0.25,0,0,0,0,0.125,-0.25,-0.125,0,0.125,0,-0.125,0,0.024793388,0.049586777,0.504132231,0.041322314,0,0.049586777,0.074380165,0.256198347,0,0,0.863636364
107455->,0,-0.25,0,-0.25,0.25,0,-0.25,0,-0.125,-0.25,0.125,0,0.008264463,0.033057851,0.05785124,0.165289256,0,0,0.033057851,0.132231405,0.512396694,0.05785124,0,0.863636364
107456->,0,-0.25,0,-0.25,0,-0.125,-0.125,-0.25,0.125,0,-0.125,0,0.016528926,0.041322314,0.115702479,0.247933884,0,0,0.024793388,0.090909091,0.388429752,0.074380165,0,0.863636364
107457->,0,-0.25,-0.125,-0.125,-0.125,-0.125,0.125,0,-0.125,-0.125,0.25,0.125,0.066115702,0.049586777,0.041322314,0.73553719,0.016528926,0,0,0,0.066115702,0.024793388,0,0.863636364
107484->,0,0,0,-0.125,0,0,0,0,0,-0.125,0,0,0.223140496,0.685950413,0.049586777,0,0,0,0.041322314,0,0,0,0,0.863636364
107489->,-0.25,-0.5,-0.125,0,-0.25,-0.125,0,0,-0.125,0,0.125,0.25,0.016528926,0.041322314,0.049586777,0.355371901,0.231404959,0,0.024793388,0.016528926,0.214876033,0.049586777,0,0.863636364
105222->,0,0,0,0,-0.125,0,-0.125,0,0,-0.375,0,0.125,0.049586777,0.157024793,0.074380165,0.619834711,0,0,0.024793388,0.033057851,0.041322314,0,0,0.772727273
105249->,0,-0.25,0.125,-0.75,0.25,-0.125,0.25,-0.125,0,0,0.5,-0.875,0.016528926,0,0,0.190082645,0.355371901,0,0.347107438,0.090909091,0,0,0,0.772727273
105252->,0.25,0,0,0,0,0,0.125,-0.25,0,0,-0.125,-0.25,0.016528926,0.157024793,0.082644628,0.231404959,0.049586777,0,0.033057851,0.041322314,0.272727273,0.115702479,0,0.772727273
105253->,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.016528926,0.05785124,0.107438017,0.297520661,0.024793388,0,0.041322314,0.115702479,0.338842975,0,0,0.772727273
105254->,0,0,0,0,-0.25,-0.125,0,0,-0.375,-0.25,0.125,0.25,0.008264463,0.024793388,0.033057851,0.421487603,0.099173554,0,0.008264463,0.033057851,0.256198347,0.115702479,0,0.772727273
105286->,0,0,0,0,-0.5,0,0,0.5,-0.25,0,0.25,0.75,0.008264463,0.024793388,0.049586777,0.239669421,0,0,0.033057851,0.05785124,0.545454545,0.041322314,0,0.772727273
105315->,-0.25,-0.25,-0.25,-0.5,0,-0.25,0,0,0,0.25,0,-0.25,0,0.008264463,0.024793388,0.454545455,0.107438017,0,0.05785124,0.041322314,0.297520661,0.008264463,0,0.772727273
105318->,0,-0.25,0,0,0.75,-0.75,0.5,-0.875,0,0,0.75,-0.875,0.024793388,0.024793388,0.090909091,0.371900826,0.049586777,0.016528926,0.024793388,0.082644628,0.239669421,0.074380165,0,0.772727273
105765->,0,-0.125,0,-0.125,0,0.125,0.125,-0.125,0,-0.125,0.125,0.125,0.148760331,0.32231405,0.099173554,0.347107438,0,0,0.074380165,0.008264463,0,0,0,0.772727273
105797->,-0.125,-0.25,-0.125,-0.125,-0.125,-0.125,-0.125,0,-0.125,-0.125,0.125,0.375,0.008264463,0.099173554,0.099173554,0.570247934,0.066115702,0,0.008264463,0.016528926,0.090909091,0.041322314,0,0.772727273
105829->,-0.25,0,-0.125,0,-0.75,-0.125,0,-0.5,-0.125,-0.125,0.375,0.375,0.008264463,0.024793388,0.016528926,0.479338843,0.107438017,0,0.024793388,0.049586777,0.256198347,0.033057851,0,0.772727273
105861->,0,0.25,0,-0.5,0.5,-0.25,-0.5,0.125,-0.125,-0.5,0.375,-0.25,0.008264463,0.016528926,0.05785124,0.289256198,0,0,0.041322314,0.082644628,0.446280992,0.05785124,0,0.772727273
106340->,0,0,0.125,0,-0.125,0,0,-0.25,0.125,0,0,0.125,0.082644628,0.314049587,0.123966942,0.330578512,0,0,0.123966942,0.024793388,0,0,0,0.772727273
106369->,-0.125,0,-0.25,0,-0.25,0,0,0,0.125,0.25,-0.25,0,0.008264463,0.140495868,0.05785124,0.280991736,0.066115702,0,0.049586777,0.041322314,0.256198347,0.099173554,0,0.772727273
106371->,0,0.5,0,-0.75,-0.75,0,0,0.25,-0.25,-0.25,0,0.25,0.016528926,0.041322314,0.041322314,0.223140496,0.074380165,0,0.05785124,0.082644628,0.338842975,0.123966942,0,0.772727273
106372->,0,-0.75,0,-0.125,0,0,-0.25,-0.25,0,0.125,0.125,0,0.024793388,0.016528926,0.074380165,0.561983471,0.20661157,0,0.041322314,0.024793388,0.049586777,0,0,0.772727273
106404->,-0.75,0,-0.125,-0.375,-0.25,0,-0.25,0.25,0.125,-0.375,0,0.375,0.016528926,0.033057851,0.074380165,0.421487603,0,0,0.024793388,0.107438017,0.32231405,0,0,0.772727273
106850->,-0.25,0,0,0,0,0.125,0.25,0,0,0,0.25,0.125,0.165289256,0.148760331,0.115702479,0.429752066,0.033057851,0,0.049586777,0.041322314,0.016528926,0,0,0.772727273
106880->,0.5,0.5,0.25,0,0.5,0.25,0,0.5,0.25,0,0.5,0.25,0.231404959,0.090909091,0.041322314,0.082644628,0,0,0.066115702,0.033057851,0.314049587,0.140495868,0,0.772727273
106882->,0,-0.125,0,-0.125,0.125,0,0,-0.125,0,-0.125,0.125,0,0,0.090909091,0.066115702,0.760330579,0.008264463,0,0.024793388,0.033057851,0.016528926,0,0,0.772727273
106911->,0,0,0.5,0.25,0,0,0,0,0.5,-0.25,-0.5,-0.25,0.512396694,0.280991736,0.066115702,0.008264463,0,0,0.082644628,0.016528926,0.033057851,0,0,0.772727273
106914->,-0.125,-0.5,-0.125,0,-0.375,-0.125,-0.125,-0.25,-0.125,0,0,0,0.008264463,0,0.049586777,0.429752066,0.123966942,0,0.008264463,0.033057851,0.272727273,0.074380165,0,0.772727273
106946->,-0.5,0,0,-0.25,-0.5,0,-0.25,0,0,-0.25,0,0.25,0.016528926,0.024793388,0.041322314,0.239669421,0.016528926,0,0.024793388,0.066115702,0.47107438,0.099173554,0,0.772727273
106947->,0,-0.25,0,0,0,0,0,-0.25,-0.125,0,0.125,0.125,0.033057851,0.157024793,0.140495868,0.429752066,0.066115702,0,0.066115702,0.024793388,0.082644628,0,0,0.772727273
107425->,0,0,0,-0.125,0.125,0.125,0,0.125,0,-0.125,0.125,0.25,0.165289256,0.355371901,0.066115702,0.380165289,0.016528926,0,0.016528926,0,0,0,0,0.772727273
107454->,0,0,0,-0.25,0,0.25,0,0.125,-0.25,0,-0.25,-0.125,0.338842975,0.173553719,0.033057851,0.008264463,0,0,0.190082645,0.016528926,0.165289256,0.074380165,0,0.772727273
107486->,0,0,-0.25,0,-0.25,0,0.125,-0.125,0,0,-0.125,-0.125,0.066115702,0.148760331,0.082644628,0.099173554,0.05785124,0,0.016528926,0.066115702,0.338842975,0.123966942,0,0.772727273
104169->,-0.5,0,0,-0.25,-0.5,-0.125,0,0,0,0.5,0.875,-0.5,0.016528926,0.082644628,0.074380165,0.462809917,0.05785124,0,0.05785124,0.041322314,0.190082645,0.016528926,0,0.681818182
104200->,0,0,0,0,0,0,0,0,0,-0.5,0,0.5,0,0.05785124,0.074380165,0.446280992,0.024793388,0,0.033057851,0.066115702,0.239669421,0.05785124,0,0.681818182
104201->,0,0,-0.25,0,0,-0.75,0,-0.5,0.5,0,-0.5,-0.5,0.008264463,0.016528926,0.123966942,0.289256198,0.024793388,0,0.066115702,0.082644628,0.330578512,0.05785124,0,0.681818182
104247->,0,0,0.5,-0.125,1,1,0,0,-0.75,0,0.75,0,0.214876033,0.314049587,0.47107438,0,0,0,0,0,0,0,0,0.681818182
104674->,0,0,-0.75,-0.125,0,0.25,0,0,0,-0.25,-0.25,0.25,0.099173554,0.140495868,0.05785124,0.198347107,0.132231405,0,0.198347107,0.140495868,0.033057851,0,0,0.681818182
104677->,0.125,-0.5,-0.25,-0.25,0.125,0,0.25,-0.125,0,0,0,-0.25,0.338842975,0.26446281,0.024793388,0,0,0,0.190082645,0.016528926,0.107438017,0.05785124,0,0.681818182
104711->,-0.25,-0.5,-0.375,-0.75,-0.25,-0.125,-0.25,0,-0.5,0,-0.25,0,0,0.033057851,0.049586777,0.314049587,0.115702479,0,0.041322314,0.016528926,0.330578512,0.099173554,0,0.681818182
104712->,-0.375,-0.75,0,0.25,-0.125,-0.375,-0.5,0,0,-0.5,0.375,0,0.082644628,0.198347107,0.05785124,0.41322314,0.107438017,0,0.107438017,0.033057851,0,0,0,0.681818182
104740->,-0.125,0.25,0,0,-0.375,-0.25,-0.375,0,0,0,-0.375,0,0.008264463,0.033057851,0.082644628,0.371900826,0.066115702,0,0.033057851,0.140495868,0.239669421,0.024793388,0,0.681818182
104742->,0,-0.25,-0.5,0,0,-0.5,0,0.25,0,-0.5,0,0,0.033057851,0.024793388,0.099173554,0.190082645,0.049586777,0,0.033057851,0.140495868,0.421487603,0.008264463,0,0.681818182
104744->,-0.75,-0.75,0.25,0,0,-0.5,0,-0.25,-0.5,0,0,-0.75,0.024793388,0.165289256,0.123966942,0.396694215,0,0,0.024793388,0.024793388,0.231404959,0.008264463,0,0.681818182
104758->,0,-1,0,-1,1,0.5,0,-1,0.25,-0.25,0.5,0,0.033057851,0.314049587,0.082644628,0.20661157,0.190082645,0,0,0,0.099173554,0.074380165,0,0.681818182
104759->,0,-1,0,-0.125,0.5,0.125,0.25,-0.25,0.125,0,0.375,-0.125,0.305785124,0.512396694,0.066115702,0.033057851,0,0,0.074380165,0.008264463,0,0,0,0.681818182
105190->,0.25,0,0,0,0.375,0.125,0,-0.125,0,0,0,0,0.289256198,0.115702479,0.090909091,0.347107438,0.049586777,0,0.074380165,0.024793388,0.008264463,0,0,0.681818182
105283->,0.125,-0.25,0,-0.25,0,0,0.375,0,-0.25,0,0.25,0,0.033057851,0.041322314,0.090909091,0.41322314,0.115702479,0,0.05785124,0.099173554,0.148760331,0,0,0.681818182
105287->,0,0,-0.25,0,0,-0.75,-0.25,0,0,0,-0.25,-0.75,0.099173554,0.173553719,0.074380165,0.347107438,0.033057851,0,0.148760331,0.090909091,0.033057851,0,0,0.681818182
105301->,-0.5,0,-0.25,0.125,0.5,0.125,-0.5,0,0,0.125,0,-0.125,0.223140496,0.421487603,0.132231405,0.090909091,0.123966942,0,0.008264463,0,0,0,0,0.681818182
105317->,0,0,0,-0.25,-0.75,0.75,-0.375,0.5,0.5,-0.875,-0.875,0.875,0.041322314,0.016528926,0.066115702,0.338842975,0.074380165,0.016528926,0.05785124,0.041322314,0.289256198,0.05785124,0,0.681818182
105792->,-0.25,-0.25,-0.125,-0.25,0.25,0,-0.25,-0.125,0.125,-1,0.125,0,0.32231405,0.297520661,0,0.049586777,0,0,0.330578512,0,0,0,0,0.681818182
105794->,0.125,-0.125,0,0.25,0,-0.25,0.125,-0.5,0.125,-0.125,-0.125,-0.125,0.314049587,0.26446281,0.016528926,0.016528926,0,0,0.280991736,0.041322314,0.05785124,0.008264463,0,0.681818182
105796->,0,0,-0.125,-0.25,0,-0.125,0,-0.25,-0.125,0,0.125,-0.25,0.016528926,0.05785124,0.132231405,0.289256198,0.008264463,0,0.016528926,0.090909091,0.355371901,0.033057851,0,0.681818182
105860->,0.25,0,0,0.25,-0.5,0.5,0.125,-0.5,-0.5,0.125,-0.25,0.25,0,0.024793388,0.05785124,0.446280992,0.016528926,0,0.033057851,0.05785124,0.297520661,0.066115702,0,0.681818182
106337->,0.375,-0.125,0,-0.25,0.5,0,0.875,0,0,0.125,0.75,-0.25,0.173553719,0.355371901,0.090909091,0.008264463,0,0,0.041322314,0.024793388,0.214876033,0.090909091,0,0.681818182
106399->,-1,0,-0.25,0,-0.125,-0.25,-0.5,0,-0.25,-0.25,0,-0.125,0.157024793,0.223140496,0.049586777,0.008264463,0,0,0.190082645,0.165289256,0.20661157,0,0,0.681818182
106402->,0,0,0.5,0,0.125,0,0.25,0,0.25,0,0,-0.25,0.033057851,0.049586777,0.082644628,0.181818182,0,0,0.082644628,0.231404959,0.338842975,0,0,0.681818182
106945->,0.25,0.125,-0.5,0,0.25,-0.5,0,0,-0.25,0,0.25,-0.25,0.05785124,0.041322314,0.033057851,0.214876033,0.016528926,0,0.090909091,0.198347107,0.338842975,0.008264463,0,0.681818182
107488->,-0.25,0,-0.25,-0.5,0,-0.25,-0.25,0,0,0,0,-0.25,0.033057851,0.041322314,0.033057851,0.20661157,0.05785124,0,0.041322314,0.066115702,0.462809917,0.05785124,0,0.681818182
106387->,0.5,-0.125,-0.125,0,1,0,-0.5,-0.125,0,-0.125,0.375,0,0.272727273,0.702479339,0.016528926,0,0,0,0.008264463,0,0,0,0,0.590909091
106400->,-0.25,0,0,-0.25,-0.25,0,-0.25,-0.25,0,-0.75,-0.5,0,0.024793388,0.049586777,0.148760331,0.347107438,0.123966942,0,0.074380165,0.090909091,0.140495868,0,0,0.590909091
106455->,0,0,0,0,0,0.125,0,0,0,0,-0.125,0,0.603305785,0,0,0,0,0,0.396694215,0,0,0,0,0.590909091
106832->,-0.125,0,-0.125,0,-0.125,-0.875,-0.25,0,0,0,0,-0.75,0.041322314,0.066115702,0.066115702,0.26446281,0,0,0.066115702,0.115702479,0.380165289,0,0,0.590909091
106833->,-0.125,0,0,0,-0.875,0,0,0,0,-0.25,0,0.75,0.024793388,0.024793388,0.016528926,0.305785124,0.074380165,0.016528926,0.033057851,0.041322314,0.347107438,0.082644628,0.033057851,0.590909091
106834->,0,0,0,0,0,0.25,0,-0.25,0,0,0,0.125,0.272727273,0.157024793,0.090909091,0.140495868,0,0,0.198347107,0.041322314,0.099173554,0,0,0.590909091
106863->,0,0,0,0.25,0.125,-0.25,-0.25,0,0,0.5,0,-0.875,0.132231405,0.157024793,0.074380165,0.090909091,0,0,0.297520661,0.132231405,0.115702479,0,0,0.590909091
106864->,0,0.25,0,0,-0.25,0,0,0.5,0,0,-0.75,0,0.008264463,0.033057851,0.049586777,0.272727273,0.082644628,0,0.090909091,0.099173554,0.338842975,0.024793388,0,0.590909091
106865->,0,0,0,0.5,0,-0.75,0,0,-0.25,0,0.75,0,0.008264463,0.033057851,0.033057851,0.214876033,0.140495868,0,0.016528926,0.041322314,0.454545455,0.049586777,0.008264463,0.590909091
106866->,0,0.5,0,0,-0.75,0.125,-0.25,0,0,0,0.125,0.875,0.173553719,0.082644628,0.049586777,0.305785124,0.008264463,0,0.107438017,0.115702479,0.148760331,0.008264463,0,0.590909091
106898->,0.5,-0.875,0,0,0.875,0,0,-0.375,0,0,0.875,0,0.231404959,0.421487603,0.05785124,0.107438017,0.082644628,0,0.074380165,0,0.008264463,0.016528926,0,0.590909091
106942->,0,0,0,0,-0.125,-0.25,0,0,0,0,0,-0.125,0.123966942,0.198347107,0.140495868,0.107438017,0,0,0.247933884,0.132231405,0.049586777,0,0,0.590909091
106998->,0,0,-0.125,0,0,0,0,0,-0.125,0,0,0,0.611570248,0.355371901,0,0,0,0,0.033057851,0,0,0,0,0.590909091
107342->,0,0,0,0.125,0,0,0,-0.25,0,-0.125,0,0.125,0.330578512,0.165289256,0.041322314,0.033057851,0,0,0.198347107,0.066115702,0.165289256,0,0,0.590909091
107343->,0,0.125,0,0.125,0,-0.125,0,-0.125,0,0,0,-0.125,0.239669421,0.041322314,0.082644628,0.033057851,0,0,0.140495868,0.082644628,0.380165289,0,0,0.590909091
107344->,0,0.125,0,0.25,-0.125,-0.25,0,0,0,0.25,-0.125,-0.25,0.123966942,0.049586777,0.016528926,0.008264463,0,0,0.20661157,0.231404959,0.363636364,0,0,0.590909091
107374->,0,0,0.125,0.25,-0.125,-0.25,-0.25,0,-0.125,0.75,0.125,-0.75,0.148760331,0.140495868,0.024793388,0.033057851,0,0,0.140495868,0.173553719,0.338842975,0,0,0.590909091
107375->,0.125,0.25,0.125,0,-0.25,-0.75,-0.125,0.75,0,0,-0.125,0,0,0.033057851,0.041322314,0.338842975,0.008264463,0,0.024793388,0.115702479,0.438016529,0,0,0.590909091
107376->,0.125,0,0.25,0,-0.75,0.25,0,0,0.25,0.25,-0.25,0.5,0,0.024793388,0.016528926,0.272727273,0.066115702,0.016528926,0.016528926,0.074380165,0.421487603,0.05785124,0.033057851,0.590909091
107377->,0.25,0,-0.25,-0.125,0.25,0.125,0.25,0.25,0,0,0.25,0.375,0.20661157,0.140495868,0.041322314,0.132231405,0,0,0.314049587,0.115702479,0.049586777,0,0,0.590909091
107390->,0.25,0,0,-0.5,0.25,0,0,0,0,-0.5,-0.25,0,0.545454545,0.016528926,0,0,0,0,0,0,0.26446281,0.173553719,0,0.590909091
107407->,0.25,-0.25,0,0,0.25,0,0.75,-0.5,0,0,0,-0.5,0.016528926,0.008264463,0.041322314,0.20661157,0.115702479,0,0.024793388,0.099173554,0.338842975,0.148760331,0,0.590909091
107408->,0,0,0,-0.75,0,0,0,0,0.25,-0.5,0.5,0.5,0,0.016528926,0.041322314,0.256198347,0.115702479,0,0,0.041322314,0.338842975,0.181818182,0.008264463,0.590909091
107409->,0,-0.75,-0.125,0,0,0,0.25,-0.5,0,0,0.375,0.375,0.165289256,0.123966942,0.041322314,0.239669421,0.033057851,0,0.198347107,0.05785124,0.115702479,0.024793388,0,0.590909091
107439->,-0.25,0.125,0,0.125,0.125,0.75,-0.5,0,0,-0.125,-0.5,0,0.181818182,0.314049587,0.20661157,0.165289256,0.074380165,0,0.049586777,0.008264463,0,0,0,0.590909091
107440->,0,0.125,-0.75,-0.125,0.75,0.25,0,-0.125,-0.5,-0.125,0.5,0.125,0.20661157,0.429752066,0.132231405,0.099173554,0.090909091,0,0.041322314,0,0,0,0,0.590909091
107441->,-0.75,-0.125,0,0,0.25,0,-0.5,-0.125,0,0,0.375,-0.125,0.231404959,0.578512397,0.099173554,0.041322314,0.008264463,0,0.041322314,0,0,0,0,0.590909091
107483->,0,0,0.5,0,0.25,0.75,0,-0.125,0,0,0.25,-0.125,1,0,0,0,0,0,0,0,0,0,0,0.5
107485->,0,-0.125,0,0,0,-0.25,0,-0.125,0.125,-0.125,-0.125,-0.125,0.247933884,0.20661157,0.123966942,0.214876033,0,0,0.198347107,0.008264463,0,0,0,0.5
107490->,-0.125,0,0,0,-0.125,0,-0.125,0,0,0,0,0.125,0.446280992,0.05785124,0.074380165,0.247933884,0.041322314,0,0.041322314,0.016528926,0.074380165,0,0,0.5
107491->,0,0,0,0,0,0.5,0,0,0,0,-0.875,-0.125,0.438016529,0.487603306,0.024793388,0,0,0,0.049586777,0,0,0,0,0.5
107492->,0,0,0.125,0,0.5,0.125,0,0,0,0,0.75,0.125,0.884297521,0.049586777,0,0,0,0,0.066115702,0,0,0,0,0.5
107493->,0.125,0,0,0,0.125,0.125,0,0,0,0,0.25,0.125,0.669421488,0.330578512,0,0,0,0,0,0,0,0,0,0.5
107494->,0,0,0,0,0.125,0,0,0,0,0,-0.125,-0.125,0.950413223,0.049586777,0,0,0,0,0,0,0,0,0,0.5
107495->,0,0,0,0,0,0,0,0,0,0,0.125,0.125,1,0,0,0,0,0,0,0,0,0,0,0.5
107496->,0,0,0,0,0,-0.375,0,0,0,0,0,-0.125,0.966942149,0.033057851,0,0,0,0,0,0,0,0,0,0.5
107497->,0,0,0,0,-0.375,0,0,0,0,0,-0.5,-0.875,1,0,0,0,0,0,0,0,0,0,0,0.5
107498->,0,0,0,0,0,0,0,0,0.5,0,-0.5,0.875,0.760330579,0.082644628,0,0,0,0,0.157024793,0,0,0,0,0.5
107499->,0,0,0,0,0,0,0.5,0,0,0,0,-0.875,0.867768595,0.024793388,0,0,0,0,0.099173554,0.008264463,0,0,0,0.5
107500->,0,0,0,0,0,-0.125,0,0,0,0,0.5,0.875,1,0,0,0,0,0,0,0,0,0,0,0.5
107501->,0,0,0,0,-0.125,0,0,0,0,-0.125,0.375,0.125,0.966942149,0.033057851,0,0,0,0,0,0,0,0,0,0.5
107502->,0,0,0,0,0,0.125,0,-0.125,0.125,0,0,0,0.776859504,0.198347107,0,0,0,0,0.024793388,0,0,0,0,0.5
107503->,0,0,0,0,0.125,0,0.125,0,0,0,0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0.5
107504->,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.785123967,0.107438017,0,0,0,0,0.107438017,0,0,0,0,0.5
107505->,0,0,0,-0.125,0,0.125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
107506->,0,-0.125,0,0.125,0.125,-0.25,0,0,0,0,-0.125,-0.125,0.917355372,0.049586777,0,0,0,0,0.033057851,0,0,0,0,0.5
107507->,0,0.125,0,0,-0.25,0,0,0,0,0,0,-0.125,0.975206612,0,0,0,0,0,0.024793388,0,0,0,0,0.5
107508->,0,0,0,0,0,0,0,0,0,0,-0.125,0,0.553719008,0.239669421,0.024793388,0,0,0,0.132231405,0.049586777,0,0,0,0.5
107509->,0,0,0,0,0,0.25,0,0,0,0,-0.25,0,0.710743802,0.107438017,0,0,0,0,0.181818182,0,0,0,0,0.5
107510->,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0.925619835,0.024793388,0,0,0,0,0.049586777,0,0,0,0,0.5
