1->,0.5,0.25,0.5,0.25,0.5,1.0,-0.09090909090909091
2->,0.5,1.0,1.0,0.5,0.25,0.5,-0.09090909090909091
3->,0.5,0.5,1.0,0.5,1.0,1.0,-0.22727272727272727
4->,0.25,0.25,0.5,0.5,0.5,1.0,-0.22727272727272727
5->,0.25,0.25,0.5,0.25,0.25,0.5,-0.18181818181818182
6->,0.25,0.5,1.0,0.25,0.25,0.5,-0.5
7->,0.25,0.25,0.125,0.25,0.5,1.0,-0.45454545454545453
8->,0.25,0.5,0.5,0.25,0.25,0.125,-0.5
9->,0.5,0.25,0.25,0.25,0.5,0.5,-0.5
10->,0.5,0.25,0.25,0.5,0.25,0.25,-0.45454545454545453
11->,0.5,0.25,0.0,0.5,0.25,0.25,0.0
12->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
13->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
14->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
15->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
16->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
17->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
18->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
19->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
20->,0.5,0.25,0.0,0.5,0.25,0.0,-0.045454545454545456
21->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
22->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
23->,0.5,0.25,0.0,0.5,0.25,0.0,0.045454545454545456
24->,0.5,0.25,0.0,0.5,0.25,0.0,0.045454545454545456
25->,0.5,0.25,0.0,0.5,0.25,0.0,0.13636363636363635
26->,0.25,0.25,0.0,0.5,0.25,0.0,0.0
27->,0.5,0.25,0.0,0.25,0.25,0.0,0.0
28->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
29->,0.25,0.125,0.0,0.5,0.25,0.0,0.0
30->,0.125,0.125,0.125,0.25,0.125,0.0,-0.4090909090909091
31->,0.25,0.25,0.25,0.125,0.125,0.125,-0.5
32->,0.25,0.25,0.25,0.25,0.25,0.25,-0.5
33->,0.25,0.25,0.0,0.25,0.25,0.25,0.45454545454545453
34->,0.5,0.5,0.0,0.25,0.25,0.0,-0.5
35->,0.5,0.25,0.0,0.5,0.5,0.0,-0.5
36->,1.0,0.25,0.0,0.5,0.25,0.0,0.3181818181818182
37->,0.5,0.25,0.125,1.0,0.25,0.0,-0.045454545454545456
38->,0.5,0.25,0.0,0.5,0.25,0.125,0.0
39->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
40->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
41->,1.0,0.25,0.125,0.5,0.25,0.0,0.0
42->,0.5,0.25,0.125,1.0,0.25,0.125,-0.045454545454545456
43->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
44->,0.5,0.25,0.0,0.5,0.25,0.125,0.0
45->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
46->,0.25,0.25,0.0,0.5,0.25,0.0,0.0
47->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
48->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
49->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
50->,0.5,0.25,0.0,0.25,0.25,0.0,0.0
51->,0.5,0.25,0.0,0.5,0.25,0.0,-0.36363636363636365
52->,0.5,0.25,0.0,0.5,0.25,0.0,-0.5
53->,1.0,0.25,0.125,0.5,0.25,0.0,-0.3181818181818182
54->,0.5,0.25,0.0,1.0,0.25,0.125,-0.13636363636363635
55->,0.5,0.25,0.0,0.5,0.25,0.0,-0.13636363636363635
56->,0.5,0.25,0.0,0.5,0.25,0.0,-0.2727272727272727
57->,0.5,0.25,0.0,0.5,0.25,0.0,-0.09090909090909091
58->,0.5,0.25,0.0,0.5,0.25,0.0,0.09090909090909091
59->,0.5,0.125,0.0,0.5,0.25,0.0,0.045454545454545456
60->,0.5,0.25,0.0,0.5,0.125,0.0,-0.045454545454545456
61->,0.25,0.25,0.0,0.5,0.25,0.0,0.0
62->,0.25,0.125,0.0,0.25,0.25,0.0,0.0
63->,0.25,0.25,0.125,0.25,0.125,0.0,-0.045454545454545456
64->,0.25,0.125,0.0,0.25,0.25,0.125,-0.045454545454545456
65->,0.25,0.25,0.125,0.25,0.125,0.0,0.0
66->,0.25,0.25,0.125,0.25,0.25,0.125,0.0
67->,0.25,0.25,0.0,0.25,0.25,0.125,-0.3181818181818182
68->,0.25,0.125,0.0,0.25,0.25,0.0,0.0
69->,0.25,0.25,0.0,0.25,0.125,0.0,0.0
70->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
71->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
72->,0.25,0.25,0.0,0.25,0.25,0.0,-0.045454545454545456
73->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
74->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
75->,0.125,0.25,0.0,0.25,0.25,0.0,0.0
76->,0.25,0.25,0.0,0.125,0.25,0.0,0.0
77->,0.25,0.25,0.0,0.25,0.25,0.0,-0.09090909090909091
78->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
79->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
80->,0.25,0.25,0.0,0.25,0.25,0.0,-0.045454545454545456
81->,0.125,0.25,0.125,0.25,0.25,0.0,0.0
82->,0.25,0.25,0.0,0.125,0.25,0.125,0.0
83->,0.25,0.25,0.125,0.25,0.25,0.0,0.0
84->,0.25,0.125,0.25,0.25,0.25,0.125,0.0
85->,0.25,0.25,0.25,0.25,0.125,0.25,-0.4090909090909091
86->,0.125,0.25,0.125,0.25,0.25,0.25,-0.22727272727272727
87->,0.125,0.125,0.25,0.125,0.25,0.125,-0.2727272727272727
88->,0.125,0.125,0.25,0.125,0.125,0.25,-0.18181818181818182
89->,0.25,0.25,0.25,0.125,0.125,0.25,-0.18181818181818182
90->,0.25,0.25,0.25,0.25,0.25,0.25,-0.09090909090909091
91->,0.25,0.25,0.25,0.25,0.25,0.25,-0.09090909090909091
92->,0.25,0.25,0.125,0.25,0.25,0.25,-0.22727272727272727
93->,0.25,0.25,0.125,0.25,0.25,0.125,-0.09090909090909091
94->,0.25,0.25,0.25,0.25,0.25,0.125,-0.2727272727272727
95->,0.25,0.25,0.25,0.25,0.25,0.25,-0.13636363636363635
96->,0.25,0.25,0.25,0.25,0.25,0.25,-0.18181818181818182
97->,0.25,0.25,0.25,0.25,0.25,0.25,-0.2727272727272727
98->,0.25,0.25,0.25,0.25,0.25,0.25,-0.13636363636363635
99->,0.25,0.25,0.5,0.25,0.25,0.25,-0.22727272727272727
100->,0.25,0.25,0.125,0.25,0.25,0.5,-0.13636363636363635
101->,0.25,0.25,0.125,0.25,0.25,0.125,-0.13636363636363635
102->,0.25,0.125,0.125,0.25,0.25,0.125,0.0
103->,0.25,0.125,0.125,0.25,0.125,0.125,-0.045454545454545456
104->,0.5,0.125,0.125,0.25,0.125,0.125,0.045454545454545456
105->,0.5,0.25,0.125,0.5,0.125,0.125,0.0
106->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
107->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
108->,1.0,0.25,0.0,0.5,0.25,0.125,0.045454545454545456
109->,0.5,0.25,0.0,1.0,0.25,0.0,0.0
110->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
111->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
112->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
113->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
114->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
115->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
116->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
117->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
118->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
119->,0.5,0.25,0.0,0.5,0.25,0.0,0.0
120->,1.0,0.25,0.0,0.5,0.25,0.0,0.0
121->,1.0,0.25,0.0,1.0,0.25,0.0,0.0
122->,1.0,0.25,0.0,1.0,0.25,0.0,0.0
123->,1.0,0.25,0.0,1.0,0.25,0.0,0.0
124->,0.5,0.25,0.0,1.0,0.25,0.0,0.0
125->,0.5,0.25,0.125,0.5,0.25,0.0,0.0
126->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
127->,0.5,0.25,0.0,0.5,0.25,0.125,0.0
128->,0.5,0.125,0.0,0.5,0.25,0.0,0.0
129->,0.5,0.125,0.125,0.5,0.125,0.0,0.0
130->,0.5,0.25,0.0,0.5,0.125,0.125,0.0
131->,0.25,0.25,0.5,0.5,0.25,0.0,0.0
132->,0.25,0.25,0.5,0.25,0.25,0.5,-0.18181818181818182
133->,0.5,0.25,0.125,0.25,0.25,0.5,-0.5
134->,0.25,0.25,0.25,0.5,0.25,0.125,-0.5
135->,0.25,0.25,0.25,0.25,0.25,0.25,-0.45454545454545453
136->,0.25,0.25,0.125,0.25,0.25,0.25,-0.45454545454545453
137->,0.25,0.25,0.125,0.25,0.25,0.125,-0.5
138->,0.5,0.25,0.125,0.25,0.25,0.125,-0.5
139->,0.5,0.25,0.125,0.5,0.25,0.125,-0.18181818181818182
140->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
141->,0.5,0.25,0.125,0.5,0.25,0.125,0.0
142->,0.25,0.25,0.0,0.5,0.25,0.125,0.0
143->,0.5,0.25,0.0,0.25,0.25,0.0,0.0
144->,0.25,0.25,0.125,0.5,0.25,0.0,0.0
145->,0.25,0.25,0.0,0.25,0.25,0.125,0.0
146->,0.25,0.25,0.0,0.25,0.25,0.0,0.0
147->,0.125,0.25,0.0,0.25,0.25,0.0,0.0
148->,0.25,0.25,0.125,0.125,0.25,0.0,0.0
149->,1.0,0.25,0.125,0.25,0.25,0.125,0.0
150->,1.0,0.25,0.125,1.0,0.25,0.125,0.0
151->,0.5,0.25,0.0,1.0,0.25,0.125,0.0
152->,0.5,0.25,0.125,0.5,0.25,0.0,0.0
153->,0.5,0.25,0.0,0.5,0.25,0.125,0.0
154->,1.0,1.0,0.0,0.5,0.25,0.0,0.0
155->,1.0,1.0,0.125,1.0,1.0,0.0,0.0
156->,0.25,0.25,0.25,1.0,1.0,0.125,-0.22727272727272727
157->,0.5,0.5,0.25,0.25,0.25,0.25,-0.45454545454545453
158->,0.5,0.5,0.125,0.5,0.5,0.25,-0.36363636363636365
159->,0.5,0.5,0.125,0.5,0.5,0.125,-0.4090909090909091
160->,0.5,0.5,0.5,0.5,0.5,0.125,-0.3181818181818182
161->,1.0,0.125,0.5,0.5,0.5,0.5,-0.36363636363636365
162->,0.5,0.125,0.5,1.0,0.125,0.5,-0.5
163->,0.5,0.25,0.5,0.5,0.125,0.5,-0.2727272727272727
164->,0.25,0.25,0.125,0.5,0.25,0.5,-0.45454545454545453
165->,0.5,0.25,0.125,0.25,0.25,0.125,-0.09090909090909091
166->,0.5,0.5,0.125,0.5,0.25,0.125,-0.3181818181818182
167->,0.5,0.5,0.25,0.5,0.5,0.125,-0.5
168->,0.5,0.5,0.25,0.5,0.5,0.25,-0.2727272727272727
169->,0.5,0.5,0.25,0.5,0.5,0.25,-0.18181818181818182
170->,0.25,0.5,0.5,0.5,0.5,0.25,-0.13636363636363635
171->,0.5,0.25,1.0,0.25,0.5,0.5,-0.18181818181818182
172->,0.5,0.25,0.5,0.5,0.25,1.0,-0.36363636363636365
173->,0.5,0.125,1.0,0.5,0.25,0.5,0.0
174->,0.5,0.25,1.0,0.5,0.125,1.0,0.0
175->,0.25,0.25,1.0,0.5,0.25,1.0,0.0
176->,0.5,0.25,1.0,0.25,0.25,1.0,0.045454545454545456
177->,0.5,0.125,0.25,0.5,0.25,1.0,-0.13636363636363635
178->,0.25,0.25,0.125,0.5,0.125,0.25,-0.13636363636363635
179->,0.25,0.5,1.0,0.25,0.25,0.125,-0.45454545454545453
180->,0.25,1.0,0.25,0.25,0.5,1.0,-0.5
181->,0.25,0.5,1.0,0.25,1.0,0.25,-0.22727272727272727
182->,0.25,0.25,0.5,0.25,0.5,1.0,-0.09090909090909091
183->,0.25,0.25,0.5,0.25,0.25,0.5,-0.22727272727272727
184->,0.25,0.25,0.25,0.25,0.25,0.5,-0.45454545454545453
185->,0.25,0.125,0.5,0.25,0.25,0.25,-0.3181818181818182
186->,0.5,0.25,0.5,0.25,0.125,0.5,-0.36363636363636365
187->,0.25,0.25,0.125,0.5,0.25,0.5,0.45454545454545453
188->,0.5,0.25,0.125,0.25,0.25,0.125,0.0
189->,0.25,0.25,0.125,0.5,0.25,0.125,0.0
190->,0.25,0.25,0.0,0.25,0.25,0.125,0.0
191->,0.25,0.125,0.125,0.25,0.25,0.0,0.0
192->,0.5,0.25,0.125,0.25,0.125,0.125,0.0
193->,0.25,0.25,0.125,0.5,0.25,0.125,0.0
194->,0.25,0.125,0.0,0.25,0.25,0.125,0.0
195->,0.25,0.125,0.0,0.25,0.125,0.0,0.0
196->,0.25,0.25,0.0,0.25,0.125,0.0,0.0
197->,0.25,0.25,0.125,0.25,0.25,0.0,0.0
198->,0.5,0.125,0.0,0.25,0.25,0.125,0.0
